               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.046535,             0.01663,          3.2037e-05,             0.83337,             0.71384,             0.75571,             0.41769,            0.049246,            0.019621,          3.6885e-05,            0.001684,            0.001684,            0.001684
                  86,            0.046141,            0.016656,          2.8397e-05,             0.83821,             0.71224,              0.7533,             0.41786,             0.04915,            0.019594,           3.595e-05,            0.001585,            0.001585,            0.001585
                  87,            0.045535,             0.01653,          2.9204e-05,             0.85145,             0.69825,             0.75607,             0.41637,            0.049027,             0.01971,          3.5385e-05,            0.001486,            0.001486,            0.001486
                  88,            0.045738,             0.01618,          2.9553e-05,             0.84129,             0.71112,             0.75405,             0.41392,            0.049412,            0.019667,          3.5187e-05,            0.001387,            0.001387,            0.001387
                  89,             0.04603,            0.016638,          2.7548e-05,             0.84647,             0.71306,             0.75919,             0.41891,             0.04912,            0.019612,          3.4908e-05,            0.001288,            0.001288,            0.001288
                  90,            0.044964,             0.01636,          2.7784e-05,             0.84128,             0.71515,             0.76157,             0.41956,            0.049074,            0.019706,          3.4321e-05,            0.001189,            0.001189,            0.001189
                  91,            0.046026,            0.016584,          2.7915e-05,             0.85033,             0.71825,             0.76166,             0.42219,            0.048703,            0.019707,          3.4163e-05,             0.00109,             0.00109,             0.00109
                  92,            0.045311,            0.016474,          2.7269e-05,             0.85821,              0.7062,             0.76175,             0.42483,            0.048738,             0.01962,          3.4153e-05,            0.000991,            0.000991,            0.000991
                  93,            0.044754,            0.016097,          2.6884e-05,              0.8505,              0.7076,             0.76058,              0.4238,            0.049104,            0.019628,          3.4145e-05,            0.000892,            0.000892,            0.000892
                  94,            0.045069,            0.015999,          2.6409e-05,             0.85172,             0.71507,              0.7666,             0.42452,            0.048769,            0.019617,          3.4019e-05,            0.000793,            0.000793,            0.000793
                  95,            0.044311,            0.016623,          2.6579e-05,             0.85082,             0.71025,             0.76272,             0.42529,            0.048603,            0.019533,          3.3212e-05,            0.000694,            0.000694,            0.000694
                  96,            0.044555,            0.016318,          2.6156e-05,             0.83184,             0.72182,             0.76449,             0.42418,             0.04856,            0.019568,          3.2945e-05,            0.000595,            0.000595,            0.000595
                  97,            0.044596,            0.016225,          2.5221e-05,             0.84966,             0.71046,             0.76146,             0.42507,            0.048715,            0.019561,          3.2277e-05,            0.000496,            0.000496,            0.000496
                  98,            0.044318,            0.015994,          2.4787e-05,             0.84708,             0.71616,             0.76422,             0.42525,            0.048633,             0.01951,          3.2111e-05,            0.000397,            0.000397,            0.000397
                  99,            0.044783,            0.016248,           2.541e-05,             0.84152,             0.72389,             0.76609,             0.42564,             0.04852,            0.019547,          3.2338e-05,            0.000298,            0.000298,            0.000298
